,method,pretrain_model,training_ratio,level_3,mAP,RMSE
0,fine-tuning,SuperAnimal,1.0,shuffle1,79.511,11.021
1,memory-replay,SuperAnimal,1.0,shuffle1,80.113,11.296
2,transfer learning,ImageNet,1.0,shuffle1,70.548,11.228
3,transfer learning,SuperAnimal,1.0,shuffle1,74.379,10.748
4,zero-shot,SuperAnimal,1.0,shuffle1,68.038,12.971
