,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,finetune,AP10k,1.0,shuffle1,0.8679436575517934,4.85994208570753
1,finetune,SuperAnimal,1.0,shuffle1,0.8685149495274778,4.706206693997539
2,memory-replay,SuperAnimal,1.0,shuffle1,0.8703351180011143,4.635637873874078
3,transfer-learning,AP10k,1.0,shuffle1,0.8940190416039608,5.27469312355038
4,transfer-learning,ImageNet,1.0,shuffle1,0.8686445106997213,5.756907349364733
5,transfer-learning,SuperAnimal,1.0,shuffle1,0.8961172640864272,5.184970775259781
6,zeroshot,AP10k,1.0,shuffle1,0.7944728947412096,5.774264553260504
7,zeroshot,SuperAnimal,1.0,shuffle1,0.8463903878426199,4.88362013412834
