;f1;action;method;video
98;0.04757709251101322;Unsupported Rears;Sturman;54
99;0.41259105098855353;Unsupported Rears;Sturman;58
100;0.5627186406796602;Unsupported Rears;Sturman;5
101;0.2975289964699949;Unsupported Rears;Sturman;6
102;0.6938616938616938;Unsupported Rears;Sturman;11
103;0.27884615384615385;Unsupported Rears;Sturman;12
104;0.5718608169440241;Unsupported Rears;Sturman;14
105;0.5174861951091244;Unsupported Rears;Sturman;15
106;0.2827102803738318;Unsupported Rears;Sturman;16
107;0.6591173054587689;Unsupported Rears;Sturman;23
108;0.0439511653718091;Unsupported Rears;Sturman;24
109;0.47705696202531633;Unsupported Rears;Sturman;38
110;0.613359336908825;Unsupported Rears;Sturman;39
111;0.17058823529411762;Unsupported Rears;Sturman;41
112;0.6774858320453375;Unsupported Rears;Sturman;43
113;0.619342544068604;Unsupported Rears;Sturman;44
114;0.5441741357234314;Unsupported Rears;Sturman;49
115;0.4135211267605633;Unsupported Rears;Sturman;50
116;0.4107458465889006;Unsupported Rears;Sturman;51
117;0.055676855895196505;Unsupported Rears;Sturman;52
118;0.5683297180043384;Unsupported Rears;Sturman;54
119;0.5755175057500639;Unsupported Rears;Sturman;58
